=== RAPORT PERFORMANTĂ ALGORITMI SORTARE ===
Data testării: Tue Mar 24 22:55:29 2026
=================================================================

>>> FIȘIER: dim_gigant.txt <<<

    Heap Sort       | Timp:   0.077284s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.079079s | Memorie:   781.27 KB
    Radix Sort      | Timp:   0.324502s | Memorie:   781.50 KB

  [CAS: Float Aleator | N: 100000 | TIP: float]
    Shell Sort      | Timp:   1.397689s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.697628s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   1.810219s | Memorie:     5.34 KB
    Heap Sort       | Timp:   0.957863s | Memorie:     0.00 KB

>>> FIȘIER: dim_mare.txt <<<

  [CAS: Aleator | N: 10000 | TIP: int]
    Bubble Sort     | Timp:  31.151163s | Memorie:     0.17 KB
    Selection Sort  | Timp:   4.698671s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   4.724220s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.066590s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.087545s | Memorie:   156.41 KB
    Quick Sort      | Timp:   0.132169s | Memorie:     4.21 KB
    Heap Sort       | Timp:   0.055774s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.078550s | Memorie:   840.46 KB
    Radix Sort      | Timp:   0.031747s | Memorie:    78.38 KB

  [CAS: Sortat Crescător | N: 10000 | TIP: int]
    Bubble Sort     | Timp:   0.001462s | Memorie:     0.00 KB
    Selection Sort  | Timp:   4.515685s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.002355s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.022068s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.045228s | Memorie:   156.28 KB
    Quick Sort      | Timp:   0.069262s | Memorie:     2.74 KB
    Heap Sort       | Timp:   0.055583s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.071912s | Memorie:   837.31 KB
    Radix Sort      | Timp:   0.029310s | Memorie:    78.38 KB

  [CAS: Sortat Descrescător | N: 10000 | TIP: int]
    Bubble Sort     | Timp:  15.803906s | Memorie:     0.00 KB
    Selection Sort  | Timp:   5.091947s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   8.740960s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.036279s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.045807s | Memorie:   156.28 KB
    Quick Sort      | Timp:   0.061237s | Memorie:     2.18 KB
    Heap Sort       | Timp:   0.077695s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.096330s | Memorie:   841.05 KB
    Radix Sort      | Timp:   0.029403s | Memorie:    78.38 KB

  [CAS: Constant (Plat) | N: 10000 | TIP: int]
    Bubble Sort     | Timp:   0.001375s | Memorie:     0.00 KB
    Selection Sort  | Timp:   4.240817s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.002257s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.021303s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.046536s | Memorie:   156.28 KB
    Quick Sort      | Timp:   0.001596s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.005595s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.004894s | Memorie:    78.14 KB
    Radix Sort      | Timp:   0.016163s | Memorie:    78.38 KB

  [CAS: Float Aleator | N: 10000 | TIP: float]
    Bubble Sort     | Timp:  11.317526s | Memorie:     0.00 KB
    Selection Sort  | Timp:   4.297794s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   4.433347s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.061309s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.050716s | Memorie:   156.28 KB
    Quick Sort      | Timp:   0.086094s | Memorie:     3.96 KB
    Heap Sort       | Timp:   0.050325s | Memorie:     0.00 KB

  [CAS: String Aleator | N: 10000 | TIP: string]
    Bubble Sort     | Timp:  12.955473s | Memorie:     0.00 KB
    Selection Sort  | Timp:   5.609254s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   4.990138s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.068838s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.061741s | Memorie:   156.34 KB
    Quick Sort      | Timp:   0.079034s | Memorie:     3.68 KB
    Heap Sort       | Timp:   0.058754s | Memorie:     0.00 KB

>>> FIȘIER: dim_medie.txt <<<

  [CAS: Aleator | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.198550s | Memorie:     0.14 KB
    Selection Sort  | Timp:   0.045268s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.040032s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.003215s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.004118s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.009803s | Memorie:     3.43 KB
    Heap Sort       | Timp:   0.004699s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.034713s | Memorie:   624.09 KB
    Radix Sort      | Timp:   0.002614s | Memorie:     8.06 KB

  [CAS: Sortat Crescător | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.000126s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.046375s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000207s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.001300s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003443s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.003389s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.003700s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.034266s | Memorie:   606.20 KB
    Radix Sort      | Timp:   0.002577s | Memorie:     8.06 KB

  [CAS: Sortat Descrescător | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.118704s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.044840s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.070642s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.002242s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003340s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.002865s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.003023s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.034435s | Memorie:   621.92 KB
    Radix Sort      | Timp:   0.002591s | Memorie:     8.06 KB

  [CAS: Constant (Plat) | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.000123s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.041530s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000201s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.001242s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003329s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.000178s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000507s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.000449s | Memorie:     7.83 KB
    Radix Sort      | Timp:   0.001329s | Memorie:     8.06 KB

  [CAS: Float Aleator | N: 1000 | TIP: float]
    Bubble Sort     | Timp:   0.087749s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.041221s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.037183s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.002860s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003812s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.003618s | Memorie:     0.62 KB
    Heap Sort       | Timp:   0.003304s | Memorie:     0.00 KB

  [CAS: String Aleator | N: 1000 | TIP: string]
    Bubble Sort     | Timp:   0.107184s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.053462s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.045570s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.003484s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.004117s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.003582s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.003830s | Memorie:     0.00 KB

>>> FIȘIER: dim_mica.txt <<<

  [CAS: Aleator | N: 100 | TIP: int]
    Bubble Sort     | Timp:   0.000542s | Memorie:     0.05 KB
    Selection Sort  | Timp:   0.000256s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000290s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.000111s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.000319s | Memorie:     1.57 KB
    Quick Sort      | Timp:   0.000316s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000310s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.003459s | Memorie:   155.78 KB
    Radix Sort      | Timp:   0.000239s | Memorie:     1.03 KB

  [CAS: Sortat Crescător | N: 100 | TIP: int]
    Bubble Sort     | Timp:   0.000012s | Memorie:     0.00 KB
